,metal,ox,ligstr,complex.size,spin,geom
525,mn,2.0,pph3_pph3_pph3_iodide,104.0,6.0,tetrahedral
526,mn,2.0,thiopyridine_iodide_iodide_iodide,16.0,6.0,tetrahedral
527,mn,3.0,cyanopyridine_iodide_iodide_iodide,16.0,5.0,tetrahedral
528,mn,3.0,cyanopyridine_cyanopyridine_iodide_iodide,27.0,5.0,tetrahedral
529,mn,3.0,cyanopyridine_cyanopyridine_cyanopyridine_iodide,38.0,5.0,tetrahedral
530,mn,3.0,formaldehyde_iodide_iodide_iodide,8.0,5.0,tetrahedral
531,mn,3.0,formaldehyde_formaldehyde_iodide_iodide,11.0,5.0,tetrahedral
532,mn,3.0,formaldehyde_formaldehyde_formaldehyde_iodide,14.0,5.0,tetrahedral
533,mn,3.0,pyridine_iodide_iodide_iodide,15.0,5.0,tetrahedral
534,mn,3.0,pyridine_pyridine_iodide_iodide,25.0,5.0,tetrahedral
535,mn,3.0,pyridine_pyridine_pyridine_iodide,35.0,5.0,tetrahedral
536,mn,3.0,thiopyridine_iodide_iodide_iodide,16.0,5.0,tetrahedral
537,mn,3.0,thiopyridine_thiopyridine_iodide_iodide,27.0,5.0,tetrahedral
538,mn,3.0,thiopyridine_thiopyridine_thiopyridine_iodide,38.0,5.0,tetrahedral
539,co,2.0,acetonitrile_formaldehyde_formaldehyde_formaldehyde,19.0,4.0,tetrahedral
540,co,2.0,acetonitrile_acetonitrile_formaldehyde_formaldehyde,21.0,4.0,tetrahedral
541,co,2.0,acetonitrile_acetonitrile_acetonitrile_formaldehyde,23.0,4.0,tetrahedral
542,co,2.0,ammonia_formaldehyde_formaldehyde_formaldehyde,17.0,4.0,tetrahedral
543,co,2.0,ammonia_ammonia_formaldehyde_formaldehyde,17.0,4.0,tetrahedral
544,co,2.0,ammonia_ammonia_ammonia_formaldehyde,17.0,4.0,tetrahedral
545,co,2.0,cn_formaldehyde_formaldehyde_formaldehyde,15.0,4.0,tetrahedral
546,co,2.0,cn_cn_formaldehyde_formaldehyde,13.0,4.0,tetrahedral
547,co,2.0,cn_cn_cn_formaldehyde,11.0,4.0,tetrahedral
548,co,2.0,scn_formaldehyde_formaldehyde_formaldehyde,16.0,4.0,tetrahedral
549,co,2.0,scn_scn_formaldehyde_formaldehyde,15.0,4.0,tetrahedral
550,co,2.0,scn_scn_scn_formaldehyde,14.0,4.0,tetrahedral
551,co,3.0,benzisc_formaldehyde_formaldehyde_formaldehyde,29.0,5.0,tetrahedral
552,co,3.0,benzisc_benzisc_formaldehyde_formaldehyde,41.0,5.0,tetrahedral
553,co,3.0,benzisc_benzisc_benzisc_formaldehyde,53.0,5.0,tetrahedral
554,co,3.0,formaldehyde_methylamine_methylamine_methylamine,26.0,5.0,tetrahedral
555,co,3.0,formaldehyde_thiopyridine_thiopyridine_thiopyridine,41.0,5.0,tetrahedral
556,co,3.0,formaldehyde_formaldehyde_methylamine_methylamine,23.0,5.0,tetrahedral
557,co,3.0,formaldehyde_formaldehyde_thiopyridine_thiopyridine,33.0,5.0,tetrahedral
558,co,3.0,formaldehyde_formaldehyde_formaldehyde_methylamine,20.0,5.0,tetrahedral
559,co,3.0,formaldehyde_formaldehyde_formaldehyde_thiopyridine,25.0,5.0,tetrahedral
560,co,3.0,ncs_benzisc_benzisc_benzisc,52.0,5.0,tetrahedral
561,co,3.0,ncs_formaldehyde_formaldehyde_formaldehyde,16.0,5.0,tetrahedral
562,co,3.0,ncs_methylamine_methylamine_methylamine,25.0,5.0,tetrahedral
